send_time,dm_time,crc32_id,text
2021-05-14 13:28:18,0:00:29.709000,b213d663,如果对方想穿档过人，我两腿一收断了呢？
2021-05-16 00:05:07,0:00:37.711000,a7c3e0e6,穿裆一收腿不算，因为你没抬起来。
