uname,mid,level,sex,send_time,like,is_sub,text
kimi_darega,36133747,5,保密,2021-04-28 21:45:49,0,True,回复 @oo00oo00oo00oo :不是，一个辅助驾驶，一个自动驾驶，你是怎么能说出自动不如辅助的？尤其那个辅助还老出事
防盗萌6,133247529,5,男,2021-04-29 12:41:08,0,True,回复 @oo00oo00oo00oo :你现在真的不如狗
oo00oo00oo00oo,22191556,5,保密,2021-05-02 14:52:06,0,True,回复 @11琉璃梦11 :百度就是弟弟
oo00oo00oo00oo,22191556,5,保密,2021-05-02 14:53:37,0,True,回复 @kimi_darega :谁说华为这个是自动驾驶的？ 顶多l2+
oo00oo00oo00oo,22191556,5,保密,2021-05-02 14:54:23,0,True,回复 @临时扫地僧 :客观看待问题，华为现在还没多少出货量  等多了之后 问题就暴露出来了
oo00oo00oo00oo,22191556,5,保密,2021-05-02 14:56:06,0,True,回复 @-DandD- :激光雷达弊端更多 尤其雨天雾天沙尘天雪天等
oo00oo00oo00oo,22191556,5,保密,2021-05-02 14:56:33,0,True,回复 @好久不见_ :华为也在模仿特斯拉  大家都在模仿特斯拉
oo00oo00oo00oo,22191556,5,保密,2021-05-02 14:57:06,0,True,回复 @隔壁的孩子都馋哭了 :别自大，敬畏对手才能超越对手
oo00oo00oo00oo,22191556,5,保密,2021-05-02 14:58:11,0,True,回复 @言蹊s :拉倒吧  那里说是l4了？  特定路段？有地图路段？
oo00oo00oo00oo,22191556,5,保密,2021-05-02 14:59:01,0,True,回复 @台湾省精神病院王院士 :坐等专业老哥。
oo00oo00oo00oo,22191556,5,保密,2021-05-02 15:00:45,0,True,回复 @小晓骐硕 :我知道的太多
oo00oo00oo00oo,22191556,5,保密,2021-05-02 15:03:17,0,True,回复 @oo00oo00oo00oo :?.
好久不见_,304117784,5,保密,2021-05-02 15:09:06,0,True,回复 @oo00oo00oo00oo :太牛了
-DandD-,387233952,5,男,2021-05-02 15:30:11,1,True,回复 @oo00oo00oo00oo :弊端更多从何谈起？正常天气相机都会判断失误，更别说扬尘雾霾了[辣眼睛]
oo00oo00oo00oo,22191556,5,保密,2021-05-02 21:44:25,0,True,回复 @-DandD- :所以说 哪来的自动驾驶  全是辅助驾驶，华为也是辅助驾驶
-DandD-,387233952,5,男,2021-05-02 22:04:01,1,True,回复 @oo00oo00oo00oo :宣传自动驾驶的是特斯拉[辣眼睛]华为宣传的是l2[辣眼睛]
kimi_darega,36133747,5,保密,2021-05-02 23:10:51,2,True,回复 @oo00oo00oo00oo :这个是l2+，特斯拉那个可能算l0.5[嗑瓜子]
汝城八表,502234904,4,保密,2021-05-03 12:12:35,0,True,回复 @oo00oo00oo00oo :雨天的视频已经出来了。
oo00oo00oo00oo,22191556,5,保密,2021-05-03 12:26:50,0,True,回复 @汝城八表 :[doge]
oo00oo00oo00oo,22191556,5,保密,2021-05-03 12:28:06,0,True,回复 @临时扫地僧 :刹车失灵 是有媒体想摸黑特斯拉[doge]
汝城八表,502234904,4,保密,2021-05-03 13:11:21,2,True,回复 @oo00oo00oo00oo :别怂，在中国城市路况跑一跑无人驾驶。不是牛逼得不行嘛。
