send_time,text
2022-02-01 06:15:01,好家伙，以后无人出租车出现了坐在家里拿钱了哈哈
2022-02-01 08:43:31,我在现场。 坪山 黑色的车。
2022-02-01 10:40:59,前面的，进医院是交给医生不是机器
2022-02-01 11:25:14,还是发现很多处理不好的地方
2022-02-01 11:25:51,180度掉头貌似不行
2022-02-01 11:40:44,停车车距也太夸张吧
2022-02-01 13:48:20,如果全部都是无人驾驶。组成一个网络可以降低车祸的。毕竟人犯错率比机器大的多
2022-02-01 14:46:27,不是明文规定要要有人在驾驶座，并且手要接近方向盘吗？
2022-02-01 16:08:28,肯定有报备的，用点脑子想想！
2022-02-01 16:11:37,等红灯时候旁边车司机扭头一看不得吓傻？
2022-02-01 17:09:51,所有的车都在超你，说明你慢了，移动路障
2022-02-01 17:18:24,还行
2022-02-01 17:19:01,这个区与安途合作全无人驾驶
2022-02-01 17:48:17,就是面积单位啊，指它被准许在特定的1000平方公里范围内的所有道路上自动驾驶
2022-02-01 17:53:58,肯定是被交警允许了使用公交车道行驶啊
2022-02-01 18:10:59,你爱交不交，你做的地铁动车早就是自动运行的了
2022-02-01 18:31:07,1000平方公里内活物变身小白鼠
2022-02-01 18:38:34,驾驶座放鬼，半夜去吓唬人应该挺实用
2022-02-01 20:39:35,跟车距离太远了
2022-02-01 21:45:23,刚刚注意到，好像是一辆油车。
2022-02-01 21:55:10,高速开60太危险了吧
2022-02-01 21:56:14,速度还是偏慢整，个过程一直被其他车辆超越。
2022-02-01 21:56:37,这块完全没必要排队吧
2022-02-02 00:01:05,好像基本上都是右转
2022-02-02 00:47:51,被疯狂加塞
2022-02-02 01:49:50,车顶装着一堆传感器雷达一看就知道是无人驾驶不会吓到的
2022-02-02 10:45:45,能听交警指挥
2022-02-02 12:01:11,来保定吧
2022-02-02 12:24:56,还是大城市好，没有乱窜的电瓶车
2022-02-02 12:35:57,09:03 无保护左转
2022-02-02 12:36:05,09:28 无保护左转
2022-02-02 12:36:12,10:32无保护左转
2022-02-02 12:37:38,路况可以
2022-02-02 12:38:09,10:32 无保护左转
2022-02-02 12:38:35,09:03无保护左转，10:32无保护左转
2022-02-02 12:38:40,09:28 无保护左转
2022-02-02 12:40:40,车多的时候都比较慢
2022-02-02 12:40:54,说垃圾的 你行你上啊
2022-02-02 12:43:22,啥？那么多个高难度无保护左转
2022-02-02 12:44:03,无保护左转，比普通左转还要难
2022-02-02 12:44:57,马上就是无保护左转
2022-02-02 12:45:32,无保护左转又来了
2022-02-02 14:05:38,前面说地铁自动的，地铁就在一条道上还没鬼探头孤儿冲锋客厅骑车，一样的来吗？
2022-02-02 14:13:33,自动驾驶现在肯定最优先安全，自动安全驾驶>牛逼驾驶
2022-02-02 14:16:30,现在还没到要求自动驾驶能超速飙车抢道别车的地步吧，某弹幕真下头
2022-02-02 15:16:37,我想知道路人看到车里没人，车自己在开是什么反应∩_∩
2022-02-02 17:51:22,能把车速同步出来吗
2022-02-02 18:43:00,跟车距离有点远了
2022-02-02 21:55:06,【幽灵战车】
2022-02-02 22:48:14,这跟车距离也太远了能加载一辆车
2022-02-03 00:03:45,有意思吗，自动驾驶停车距远点怎么了？？非得贴着才叫好呗？？？
2022-02-03 00:04:06,真是无脑说车距
2022-02-03 00:06:11,眼界低的只会看得到加塞，却看不到自动驾驶为了安全留出的距离。。。
2022-02-03 00:09:59,审批通过的测试路段可以完全放开吧
2022-02-03 13:27:43,这是开得有多慢？只敢用快放，一路被超车，实用性没有了。
2022-02-03 15:27:26,可以，以后上班可以在车上吃早餐
2022-02-03 19:17:12,跟车这么远玩呢？
2022-02-03 20:45:46,看不到评论？？？
2022-02-03 21:08:58,低速行驶的时候安全距离是不是有点长？
2022-02-03 22:10:20,这个车肯定很慢的，基本都是在被别人超车
2022-02-03 22:19:50,跟不上公交车的速度，该说好还是差呢
