send_time,text
2022-01-06,那叫辅助驾驶好吧
2022-01-06,这种现阶段人也避免不了
2022-01-06,传导器还行，写文稿的没上过工科大学吧
2022-01-06,无良销售可以把自动辅助驾驶称呼为自动驾驶，你也这么认为？
2022-01-06,下架吧，自动辅助驾驶或智能辅助驾驶不等同于自动驾驶
2022-01-06,只要都用自动驾驶，原则上就没啥车祸了
2022-01-06,极狐 介于L3 和L4之间
2022-01-06,工程伦理呗
2022-01-06,汽车必须遵循法规，让速不让道。不然就是自动驾驶开发人员以故意杀人罪处理！
2022-01-06,如果交通规划本身不合理不科学怎么办呢？
2022-01-06,或许会高一纳米，但自动驾驶难点不在于这个
2022-01-06,油车智能化可不差吧
2022-01-06,新能源最多就是好控制车辆，但这不是自动驾驶的难点。新能源和科技智能化没有关系
2022-01-09,飞虎是啥
2022-01-09,机器人比那些没素质的司机好多了
2022-01-09,有点扯，自动驾驶和驱动方式有啥必然联系？
2022-01-09,驾驶辅助系统不等于自动驾驶
2022-01-09,你们真的是专业的媒体么 我笑了
2022-01-09,自动驾驶都没刹车吗
2022-01-09,前面几句就是屁话，吓唬谁？以为观众都不知道代码有权重比？安全大于一切，OK？
2022-01-09,懂车帝的视频质量开始向百家号看齐
2022-01-09,大家别急，华为来了
2022-01-09,一点都不严谨咯
2022-01-09,道路数据，危
2022-01-09,能不能说清楚，现在哪有自动驾驶，全是辅助驾驶
2022-01-09,太扯了，关了
2022-01-09,看好自动无人机，需要一定门槛
2022-01-09,还有谁
2022-01-09,这些都是碰撞前就推出系统好吧，让驾驶员接管了
2022-01-09,目前不是全自动驾驶，只是自动驾驶，是两个概念好吧
2022-01-09,鬼探头了解下
2022-01-09,非蠢即坏
2022-01-09,下架吧   这个视频
2022-01-09,因噎废食吗
2022-01-09,比亚迪汉？ 
2022-01-09,扯淡么。。。这
2022-01-09,自动驾驶的未来一定是所有的车辆都使用自动驾驶，人才是最不可控的
2022-01-09,这两句话有联系么？
2022-01-09,说的我能活到L5出来一样
2022-01-09,辅助驾驶是自动驾驶？
2022-01-09,更多离谱的车祸这话说的不对吧。。。
2022-01-09,做好了去世的准备
2022-01-09,撞校车，因为一般合格的校车都是比较坚固
2022-01-09,emmm 在未来“过渡期”需要买G55这类车 保安全了
2022-01-09,人家还有后台监视着，必要时刻可以远程遥控驾驶
2022-01-09,选择自己撞车，那我肯定不会买这辆车
2022-01-09,这哥们就是贩卖焦虑的经典案例
2022-01-09,这哥们有点水啊
2022-01-09,自动驾驶的国标都出来了 为什么还用sea的标准？
2022-01-09,这辈子都别想L5
2022-01-09,一切。。。。。。
2022-01-09,那叫辅助驾驶好吧
2022-01-09,这种现阶段人也避免不了
2022-01-09,传导器还行，写文稿的没上过工科大学吧
2022-01-09,无良销售可以把自动辅助驾驶称呼为自动驾驶，你也这么认为？
2022-01-09,下架吧，自动辅助驾驶或智能辅助驾驶不等同于自动驾驶
2022-01-09,只要都用自动驾驶，原则上就没啥车祸了
2022-01-09,极狐 介于L3 和L4之间
2022-01-09,工程伦理呗
2022-01-09,汽车必须遵循法规，让速不让道。不然就是自动驾驶开发人员以故意杀人罪处理！
2022-01-09,如果交通规划本身不合理不科学怎么办呢？
2022-01-09,或许会高一纳米，但自动驾驶难点不在于这个
2022-01-09,油车智能化可不差吧
2022-01-09,新能源最多就是好控制车辆，但这不是自动驾驶的难点。新能源和科技智能化没有关系
2022-01-12,最优解;牺牲当前车内人员
2022-01-12,飞虎是啥
2022-01-12,机器人比那些没素质的司机好多了
2022-01-12,有点扯，自动驾驶和驱动方式有啥必然联系？
2022-01-12,驾驶辅助系统不等于自动驾驶
2022-01-12,你们真的是专业的媒体么 我笑了
2022-01-12,自动驾驶都没刹车吗
2022-01-12,前面几句就是屁话，吓唬谁？以为观众都不知道代码有权重比？安全大于一切，OK？
2022-01-12,懂车帝的视频质量开始向百家号看齐
2022-01-12,大家别急，华为来了
2022-01-12,一点都不严谨咯
2022-01-12,道路数据，危
2022-01-12,能不能说清楚，现在哪有自动驾驶，全是辅助驾驶
2022-01-12,太扯了，关了
2022-01-12,看好自动无人机，需要一定门槛
2022-01-12,还有谁
2022-01-12,这些都是碰撞前就推出系统好吧，让驾驶员接管了
2022-01-12,目前不是全自动驾驶，只是自动驾驶，是两个概念好吧
2022-01-12,鬼探头了解下
2022-01-12,非蠢即坏
2022-01-12,下架吧   这个视频
2022-01-12,因噎废食吗
2022-01-12,比亚迪汉？ 
2022-01-12,扯淡么。。。这
2022-01-12,自动驾驶的未来一定是所有的车辆都使用自动驾驶，人才是最不可控的
2022-01-12,这两句话有联系么？
2022-01-12,说的我能活到L5出来一样
2022-01-12,辅助驾驶是自动驾驶？
2022-01-12,更多离谱的车祸这话说的不对吧。。。
2022-01-12,做好了去世的准备
2022-01-12,撞校车，因为一般合格的校车都是比较坚固
2022-01-12,emmm 在未来“过渡期”需要买G55这类车 保安全了
2022-01-12,人家还有后台监视着，必要时刻可以远程遥控驾驶
2022-01-12,选择自己撞车，那我肯定不会买这辆车
2022-01-12,这哥们就是贩卖焦虑的经典案例
2022-01-12,这哥们有点水啊
2022-01-12,自动驾驶的国标都出来了 为什么还用sea的标准？
2022-01-12,这辈子都别想L5
2022-01-12,一切。。。。。。
2022-01-12,那叫辅助驾驶好吧
2022-01-12,这种现阶段人也避免不了
2022-01-12,传导器还行，写文稿的没上过工科大学吧
2022-01-12,无良销售可以把自动辅助驾驶称呼为自动驾驶，你也这么认为？
2022-01-12,下架吧，自动辅助驾驶或智能辅助驾驶不等同于自动驾驶
2022-01-12,只要都用自动驾驶，原则上就没啥车祸了
2022-01-12,极狐 介于L3 和L4之间
2022-01-12,工程伦理呗
2022-01-12,汽车必须遵循法规，让速不让道。不然就是自动驾驶开发人员以故意杀人罪处理！
2022-01-12,如果交通规划本身不合理不科学怎么办呢？
2022-01-12,或许会高一纳米，但自动驾驶难点不在于这个
2022-01-12,油车智能化可不差吧
2022-01-12,新能源最多就是好控制车辆，但这不是自动驾驶的难点。新能源和科技智能化没有关系
2022-01-16,电车难题能难住电车吗？
2022-01-16,最优解;牺牲当前车内人员
2022-01-16,飞虎是啥
2022-01-16,机器人比那些没素质的司机好多了
2022-01-16,有点扯，自动驾驶和驱动方式有啥必然联系？
2022-01-16,驾驶辅助系统不等于自动驾驶
2022-01-16,你们真的是专业的媒体么 我笑了
2022-01-16,自动驾驶都没刹车吗
2022-01-16,前面几句就是屁话，吓唬谁？以为观众都不知道代码有权重比？安全大于一切，OK？
2022-01-16,懂车帝的视频质量开始向百家号看齐
2022-01-16,大家别急，华为来了
2022-01-16,一点都不严谨咯
2022-01-16,道路数据，危
2022-01-16,能不能说清楚，现在哪有自动驾驶，全是辅助驾驶
2022-01-16,太扯了，关了
2022-01-16,看好自动无人机，需要一定门槛
